TransactionID,TransactionDate,CustomerID,BranchID,Region,AccountType,TransactionType,TransactionChannel,TransactionAmount,AccountBalance,CustomerAge,Gender,Occupation,MonthlyIncome,CreditScore,LoanStatus,AccountTenure,NumberOfTransactions,DigitalBankingUsage,CustomerSatisfaction,HighValueCustomer,FutureTransactionAmount
1287,2025-12-09,C52212,B012,Eastern,Savings,Deposit,Mobile Banking,406965.56,553285.34,65,Female,Student,270088.02,702,No,9.4,174,6.6,2.7,Yes,408434.04
1288,2024-08-09,C88384,B003,Central,Fixed Deposit,Bill Payment,Internet Banking,359772.65,623652.19,48,Male,Engineer,114910.0,669,Yes,10.4,130,1.2,2.4,Yes,397667.08
1289,2024-07-18,C61264,B014,Nairobi,Savings,Deposit,Branch,345510.44,1439199.88,58,Male,Civil Servant,277687.11,400,Yes,12.3,222,71.0,2.6,No,413626.91
1290,2025-11-09,C92531,B011,Coast,Current,Bill Payment,ATM,37198.98,500596.11,40,Female,Teacher,74822.37,732,Yes,8.7,79,7.6,2.5,No,45097.22
1291,2025-10-31,C78809,B008,Nairobi,Current,Deposit,Internet Banking,414475.82,360283.59,57,Male,Teacher,274898.38,688,No,13.1,44,69.4,3.4,Yes,381905.14
1292,2024-06-03,C20058,B012,Western,Current,Transfer,Internet Banking,222286.73,1848377.9,42,Female,Teacher,11059.54,300,No,17.6,285,1.9,3.5,No,273074.83
1293,2024-09-21,C30991,B011,Western,Fixed Deposit,Deposit,Internet Banking,302771.13,1639709.68,37,Male,Engineer,270029.94,747,No,0.6,22,52.6,1.8,Yes,387810.51
1294,2025-08-21,C30756,B010,Eastern,Current,Transfer,ATM,3436.31,482400.27,26,Female,Business,326987.22,369,Yes,14.8,164,90.4,4.5,No,3874.3
1295,2024-08-28,C40981,B011,Western,Fixed Deposit,Withdrawal,Mobile Banking,127549.57,594032.12,42,Female,Student,489701.85,622,Yes,19.5,44,67.8,4.0,Yes,118694.24
1296,2024-02-13,C67732,B010,Rift Valley,Current,Deposit,ATM,248710.56,1540684.39,33,Female,Engineer,239896.03,529,Yes,16.2,225,24.6,2.2,No,252887.75
1297,2025-02-23,C42195,B002,Western,Current,Withdrawal,Mobile Banking,95987.78,970584.55,23,Female,Teacher,127045.24,774,Yes,18.8,174,79.9,4.7,No,79897.31
1298,2024-05-03,C17674,B007,Coast,Fixed Deposit,Withdrawal,Mobile Banking,391800.72,892254.1,26,Female,Farmer,175123.36,330,No,16.6,164,77.9,2.4,No,425202.03
1299,2025-01-08,C78214,B001,Coast,Current,Bill Payment,Mobile Banking,342118.83,622000.89,37,Female,Student,186011.38,730,Yes,19.1,258,42.4,3.8,No,319439.62
1300,2024-05-28,C96324,B004,Coast,Savings,Transfer,Internet Banking,297260.98,836862.95,67,Female,Teacher,363143.03,699,No,13.7,161,30.1,2.9,Yes,312355.71
1301,2024-06-09,C48445,B005,Central,Fixed Deposit,Deposit,ATM,57222.63,339223.23,30,Male,Teacher,37820.37,655,Yes,18.5,76,15.7,2.0,No,72884.17
1302,2024-05-09,C80156,B008,Coast,Fixed Deposit,Transfer,Internet Banking,48314.69,467785.53,40,Male,Civil Servant,94566.04,561,Yes,3.7,234,47.8,3.2,No,40722.75
1303,2025-09-05,C35558,B005,Central,Fixed Deposit,Deposit,ATM,330758.31,1409947.54,49,Male,Nurse,359244.42,506,No,10.5,269,32.1,2.9,Yes,419742.0
1304,2024-08-21,C25970,B012,Central,Current,Loan Repayment,Mobile Banking,206646.47,422423.22,28,Male,Student,192094.22,840,No,8.7,202,98.5,2.3,No,245727.7
1305,2025-11-03,C77910,B011,Coast,Current,Bill Payment,Internet Banking,11125.89,1180669.13,23,Female,Civil Servant,495300.93,701,No,1.0,145,80.0,3.7,Yes,11398.66
1306,2024-04-30,C38070,B002,Nairobi,Current,Transfer,Mobile Banking,496236.97,1035467.5,68,Female,Nurse,277522.41,396,Yes,6.4,133,91.3,2.5,No,622543.53
1307,2025-06-03,C97779,B012,Coast,Current,Loan Repayment,Branch,36567.83,1070585.19,60,Male,Student,281072.35,550,Yes,1.6,291,70.4,1.1,No,31201.21
1308,2024-01-11,C30445,B005,Eastern,Current,Deposit,Internet Banking,336828.72,231453.44,75,Male,Nurse,453176.43,702,Yes,2.3,167,22.4,1.4,Yes,405822.75
1309,2025-05-09,C32605,B014,Western,Savings,Deposit,Branch,62730.95,789556.29,30,Male,Teacher,221769.77,409,Yes,10.6,232,41.1,1.3,No,69145.63
1310,2024-04-26,C72705,B015,Nairobi,Current,Loan Repayment,Internet Banking,90082.15,1346658.79,45,Female,Nurse,88162.11,576,Yes,6.9,32,7.3,3.5,Yes,81532.31
1311,2024-02-27,C41185,B007,Coast,Current,Withdrawal,Branch,23447.59,21749.91,65,Female,Nurse,427462.45,630,Yes,3.7,218,79.2,3.1,No,25538.75
1312,2024-09-22,C89560,B004,Rift Valley,Savings,Withdrawal,Mobile Banking,162100.73,494172.96,52,Female,Student,395941.11,520,Yes,11.0,70,18.7,3.7,Yes,178345.15
1313,2025-07-14,C18203,B008,Eastern,Current,Transfer,Mobile Banking,110560.18,929881.52,55,Female,Civil Servant,110949.95,468,No,16.7,273,62.4,2.8,No,112676.61
1314,2024-09-14,C83641,B003,Central,Fixed Deposit,Deposit,Branch,138258.82,1299179.39,58,Female,Civil Servant,241242.88,539,Yes,9.3,161,67.8,4.7,Yes,138247.43
1315,2025-04-14,C98878,B006,Rift Valley,Savings,Transfer,ATM,275116.8,122031.54,26,Female,Farmer,64899.43,779,No,4.3,46,25.8,1.7,No,308836.96
1316,2025-12-15,C82453,B002,Rift Valley,Current,Loan Repayment,Branch,406161.53,920954.31,54,Male,Civil Servant,294942.26,342,No,15.6,278,38.0,3.0,No,380751.38
1317,2025-02-23,C83496,B003,Eastern,Current,Bill Payment,Branch,493503.09,1103578.13,58,Male,Civil Servant,27298.29,672,Yes,14.6,122,68.6,1.4,Yes,523098.55
1318,2025-11-09,C46064,B006,Eastern,Fixed Deposit,Deposit,ATM,376823.57,1002018.43,65,Male,Farmer,145361.01,511,No,16.3,255,99.9,4.7,Yes,389946.41
1319,2025-06-09,C94223,B011,Central,Current,Bill Payment,ATM,211284.68,8426.29,41,Male,Farmer,447975.68,604,Yes,18.7,29,35.7,1.7,No,176636.47
1320,2025-02-05,C42146,B008,Western,Savings,Deposit,Internet Banking,18127.83,1712026.3,56,Female,Farmer,335544.25,746,Yes,10.8,78,69.6,1.5,No,19008.35
1321,2024-10-20,C90808,B013,Central,Current,Bill Payment,Branch,210856.13,271101.75,36,Male,Farmer,452275.84,744,No,6.2,51,28.1,3.5,Yes,265271.08
1322,2024-07-14,C23341,B008,Rift Valley,Fixed Deposit,Loan Repayment,ATM,130993.56,457073.23,18,Female,Nurse,173898.49,652,Yes,0.8,103,61.8,2.1,No,105846.83
1323,2024-02-28,C80857,B002,Eastern,Savings,Transfer,Mobile Banking,470258.91,739648.03,67,Female,Farmer,212251.19,469,No,14.6,192,6.8,1.2,No,583112.04
1324,2025-08-23,C37852,B002,Eastern,Savings,Deposit,Internet Banking,482480.4,1880955.53,53,Male,Business,442328.67,619,No,18.3,46,44.7,3.0,Yes,540394.83
1325,2025-09-23,C67834,B002,Rift Valley,Fixed Deposit,Withdrawal,Internet Banking,225705.47,1365023.17,70,Male,Farmer,266331.71,789,Yes,2.3,58,28.1,1.9,Yes,232513.66
1326,2025-12-25,C23806,B010,Eastern,Savings,Deposit,Mobile Banking,485927.02,330430.0,31,Female,Civil Servant,405146.39,625,No,14.3,201,54.6,4.7,No,431532.8
1327,2024-06-09,C37096,B009,Coast,Current,Bill Payment,Branch,10995.83,751252.83,34,Female,Student,150111.39,847,Yes,17.6,160,96.2,2.1,Yes,11792.81
1328,2025-09-27,C52383,B014,Rift Valley,Savings,Withdrawal,Internet Banking,12072.18,370479.24,66,Male,Engineer,475545.25,768,Yes,19.0,114,66.0,4.0,Yes,11603.78
1329,2024-06-25,C54595,B006,Western,Current,Deposit,Branch,450928.65,1547070.16,23,Male,Farmer,224173.32,784,No,5.8,264,90.7,1.2,No,369307.53
1330,2025-11-16,C72124,B015,Coast,Current,Transfer,Branch,105264.03,1452817.98,50,Male,Farmer,20585.06,841,Yes,6.8,64,41.5,4.7,Yes,114749.0
1331,2024-08-23,C69908,B006,Coast,Current,Withdrawal,Internet Banking,162508.31,1744290.46,57,Female,Student,158379.23,332,Yes,9.1,7,90.8,2.9,No,153860.58
1332,2025-10-09,C51572,B006,Nairobi,Savings,Transfer,ATM,488385.41,1159807.31,73,Female,Business,107558.82,655,No,11.7,112,97.9,4.3,No,629029.3
1333,2025-05-19,C64715,B006,Eastern,Current,Withdrawal,ATM,277046.3,879709.03,36,Male,Engineer,440464.4,849,Yes,18.0,141,50.0,3.9,No,357497.26
1334,2024-01-25,C86532,B004,Rift Valley,Fixed Deposit,Deposit,ATM,442780.8,1404535.05,29,Female,Business,50625.34,614,Yes,13.9,296,65.2,2.1,Yes,434340.07
1335,2025-04-07,C61390,B007,Central,Current,Deposit,Mobile Banking,355388.51,1192640.03,23,Male,Nurse,103705.62,555,Yes,0.7,216,63.5,2.9,Yes,418406.58
1336,2025-10-05,C14760,B007,Nairobi,Savings,Deposit,Internet Banking,265932.16,876995.81,75,Male,Student,452860.42,537,No,0.8,82,57.5,2.7,Yes,301423.5
1337,2025-02-07,C20097,B014,Coast,Savings,Bill Payment,ATM,387742.68,1466593.88,32,Female,Teacher,468629.22,476,Yes,16.2,35,23.2,2.1,Yes,357132.55
1338,2025-08-05,C66899,B011,Nairobi,Savings,Transfer,Internet Banking,370415.19,68986.66,21,Female,Teacher,186698.66,656,No,2.7,247,26.5,4.6,No,329083.59
1339,2025-11-23,C88612,B006,Eastern,Fixed Deposit,Deposit,Mobile Banking,387161.87,1810298.3,50,Female,Business,455122.8,599,Yes,2.5,9,84.8,4.6,No,404649.53
1340,2025-09-04,C24469,B005,Eastern,Fixed Deposit,Bill Payment,Internet Banking,290817.01,748863.93,66,Female,Nurse,373446.33,543,Yes,9.2,206,54.7,3.6,No,304712.68
1341,2024-07-30,C64008,B003,Coast,Savings,Withdrawal,Branch,410418.34,1061946.73,44,Male,Nurse,294175.47,550,No,16.2,190,40.8,2.2,Yes,419096.05
1342,2025-11-29,C36957,B005,Western,Fixed Deposit,Deposit,ATM,426108.11,863765.98,18,Female,Civil Servant,409643.51,498,Yes,13.3,28,82.0,2.4,Yes,382309.97
1343,2024-10-23,C46597,B001,Coast,Fixed Deposit,Bill Payment,ATM,319703.83,1708040.23,60,Female,Nurse,262189.1,609,Yes,15.7,106,70.0,3.8,No,266157.65
1344,2024-10-25,C84905,B002,Nairobi,Fixed Deposit,Deposit,Mobile Banking,78757.66,283423.88,35,Male,Farmer,408202.52,435,No,0.9,278,16.1,1.8,Yes,63946.0
1345,2025-08-08,C94656,B013,Eastern,Current,Bill Payment,Mobile Banking,405943.27,1771209.95,67,Female,Teacher,43604.08,549,Yes,14.6,208,56.4,1.0,No,441070.74
1346,2024-06-22,C97984,B006,Eastern,Current,Transfer,Internet Banking,201229.21,1372222.81,72,Male,Business,373874.74,554,Yes,15.2,148,21.2,3.6,Yes,162077.47
1347,2024-02-03,C99205,B006,Central,Fixed Deposit,Bill Payment,Branch,92366.13,632538.76,42,Male,Farmer,71138.99,836,No,2.5,56,91.5,1.3,No,116479.28
1348,2024-10-28,C18057,B011,Eastern,Current,Bill Payment,Mobile Banking,218707.86,1575224.16,45,Male,Business,358011.38,522,No,0.9,243,27.8,3.2,Yes,273768.92
1349,2024-09-20,C87238,B003,Western,Current,Withdrawal,Mobile Banking,19668.02,461083.31,74,Male,Business,202767.84,417,Yes,13.1,100,5.0,4.0,No,23088.06
1350,2024-07-01,C45990,B006,Coast,Fixed Deposit,Bill Payment,Mobile Banking,412324.67,966045.3,18,Male,Business,436428.96,390,No,5.7,226,23.7,2.0,No,353200.3
1351,2024-12-08,C96120,B009,Nairobi,Savings,Bill Payment,Internet Banking,160555.89,605849.67,64,Male,Business,148161.65,456,Yes,19.0,54,91.2,1.6,Yes,186926.86
1352,2024-07-16,C24588,B013,Rift Valley,Savings,Deposit,Internet Banking,420992.73,1872912.26,40,Female,Farmer,122803.46,822,No,17.9,184,86.5,4.3,Yes,501713.13
1353,2025-03-27,C74532,B011,Coast,Savings,Bill Payment,Mobile Banking,222941.74,1200998.27,50,Female,Student,456153.03,573,Yes,2.6,229,51.2,1.9,No,185435.03
1354,2025-02-18,C66929,B004,Coast,Savings,Transfer,Internet Banking,356142.64,243877.8,25,Male,Civil Servant,79460.85,465,No,10.0,55,69.2,1.5,Yes,410684.24
1355,2024-10-24,C15757,B001,Western,Current,Deposit,Mobile Banking,177914.13,468431.22,35,Male,Teacher,107809.6,640,Yes,15.6,189,14.0,3.6,No,216578.43
1356,2025-02-17,C70744,B010,Central,Current,Transfer,Branch,45883.81,502753.47,53,Male,Teacher,165938.18,837,Yes,4.0,104,78.2,3.0,No,43346.15
1357,2024-08-07,C23600,B012,Eastern,Savings,Bill Payment,Mobile Banking,466001.94,1221623.43,25,Female,Farmer,321274.54,530,Yes,11.1,2,26.7,2.4,No,405903.66
1358,2025-08-22,C53800,B014,Western,Fixed Deposit,Deposit,Mobile Banking,235157.82,407744.94,26,Female,Civil Servant,415602.21,525,No,15.5,279,22.0,1.7,No,290543.3
1359,2024-05-02,C71368,B007,Coast,Fixed Deposit,Withdrawal,Internet Banking,445253.24,1307933.25,19,Male,Farmer,30275.55,305,Yes,12.3,167,69.9,4.7,Yes,529151.78
1360,2024-11-07,C70480,B010,Nairobi,Savings,Bill Payment,Mobile Banking,213135.45,141591.55,67,Male,Nurse,364703.63,405,No,8.0,188,78.9,3.3,Yes,259708.21
1361,2025-01-21,C11494,B015,Eastern,Current,Loan Repayment,Branch,499137.83,327843.76,68,Female,Business,397699.85,467,No,2.7,298,84.7,3.9,Yes,558253.32
1362,2024-05-06,C36621,B010,Western,Fixed Deposit,Bill Payment,Internet Banking,19980.65,836810.75,35,Female,Farmer,112160.33,651,Yes,15.6,151,39.4,2.4,Yes,18222.82
1363,2024-08-05,C75546,B009,Western,Current,Deposit,Mobile Banking,38038.24,1432470.15,35,Female,Nurse,194204.62,341,No,2.4,239,13.7,4.5,No,40215.08
1364,2024-04-02,C70461,B010,Nairobi,Current,Bill Payment,Branch,137221.52,271339.08,45,Male,Student,357037.83,630,Yes,11.2,202,31.2,3.1,No,165876.88
1365,2024-12-02,C81384,B006,Rift Valley,Fixed Deposit,Bill Payment,Internet Banking,292578.31,858971.22,57,Male,Nurse,416648.92,745,No,16.0,210,61.2,1.3,No,304273.55
1366,2024-09-19,C11106,B001,Nairobi,Fixed Deposit,Deposit,Internet Banking,338462.02,1682720.96,69,Female,Farmer,160446.7,456,No,6.0,65,16.9,4.4,No,305472.14
1367,2025-06-08,C24963,B010,Eastern,Fixed Deposit,Withdrawal,Branch,335219.47,1912664.65,40,Male,Business,405024.67,703,No,15.3,51,93.4,4.9,No,289444.32
1368,2025-01-11,C85250,B007,Central,Savings,Withdrawal,ATM,429712.91,1723571.72,70,Female,Farmer,494419.19,666,No,8.0,153,57.3,1.3,Yes,446518.67
1369,2024-01-30,C62753,B014,Eastern,Savings,Loan Repayment,Internet Banking,208151.68,1502978.87,22,Male,Farmer,250800.2,602,No,5.6,45,71.4,4.7,No,184379.07
1370,2025-11-09,C12273,B004,Nairobi,Current,Withdrawal,ATM,398170.01,646430.13,55,Male,Engineer,48730.83,765,No,12.5,281,39.8,3.6,No,478490.46
1371,2025-09-08,C74306,B011,Rift Valley,Fixed Deposit,Loan Repayment,Mobile Banking,110694.99,173524.81,43,Male,Student,236412.04,843,Yes,6.3,245,25.5,1.6,No,90240.66
1372,2024-02-25,C55121,B013,Nairobi,Current,Bill Payment,ATM,348798.62,1844495.75,36,Female,Farmer,382806.64,692,Yes,7.7,41,94.8,1.6,No,341227.54
1373,2024-12-15,C57158,B006,Central,Fixed Deposit,Transfer,Mobile Banking,23832.1,1633987.32,29,Male,Civil Servant,420016.68,751,No,18.5,103,99.2,1.2,No,25381.07
1374,2025-05-09,C90515,B003,Coast,Current,Deposit,ATM,44179.07,1155202.98,45,Male,Nurse,346714.21,525,Yes,6.9,170,97.1,2.6,No,38710.58
1375,2025-03-25,C58675,B010,Coast,Current,Loan Repayment,ATM,392904.86,1057932.65,26,Female,Business,475591.2,656,No,11.3,143,64.2,1.8,Yes,418353.96
1376,2025-08-11,C30603,B014,Coast,Fixed Deposit,Bill Payment,Branch,84708.63,1991919.57,52,Male,Engineer,85812.29,768,No,19.7,253,58.5,4.8,No,88160.44
1377,2024-04-24,C31858,B003,Central,Fixed Deposit,Withdrawal,ATM,321410.16,1047787.39,66,Female,Student,72596.79,758,No,8.3,271,56.3,2.4,Yes,385122.24
1378,2024-10-21,C16587,B005,Coast,Fixed Deposit,Withdrawal,Branch,172461.5,1933363.4,61,Female,Student,367217.09,450,No,7.6,106,71.2,4.8,Yes,141542.32
1379,2025-07-01,C41060,B003,Eastern,Current,Withdrawal,Branch,434048.25,1564263.77,23,Male,Business,356402.58,397,No,15.6,20,42.7,2.8,No,557022.58
1380,2024-01-16,C49381,B004,Coast,Fixed Deposit,Bill Payment,ATM,450377.38,1974585.07,64,Male,Business,482566.83,678,No,8.1,23,84.5,3.6,Yes,465645.99
1381,2024-12-20,C19304,B003,Coast,Current,Bill Payment,ATM,345094.64,264598.11,60,Female,Farmer,168904.5,307,Yes,15.1,245,58.4,1.8,Yes,294413.2
1382,2025-07-13,C64778,B015,Western,Fixed Deposit,Transfer,ATM,490985.11,1887105.92,30,Female,Farmer,178428.85,518,Yes,5.6,91,56.4,4.7,No,534125.22
1383,2024-04-09,C65642,B011,Nairobi,Fixed Deposit,Transfer,Branch,158917.83,737132.08,44,Female,Business,200386.96,330,No,10.8,261,57.7,4.5,No,187968.93
1384,2025-03-04,C15439,B014,Nairobi,Fixed Deposit,Transfer,Branch,49275.97,667619.79,59,Female,Civil Servant,370000.88,544,Yes,1.4,248,55.3,1.9,Yes,42231.09
1385,2025-08-05,C82993,B015,Nairobi,Current,Deposit,Internet Banking,370672.47,678650.45,50,Female,Student,222034.17,510,No,16.7,93,60.1,3.4,Yes,304421.54
1386,2025-04-16,C65485,B004,Nairobi,Current,Transfer,Branch,97122.23,1623042.43,23,Female,Farmer,146772.2,322,Yes,14.2,85,6.4,3.9,Yes,80907.22
1387,2024-11-29,C91117,B011,Eastern,Fixed Deposit,Transfer,Mobile Banking,180341.83,235431.64,24,Female,Engineer,407378.95,638,Yes,19.2,158,18.1,1.2,Yes,216600.7
1388,2024-02-08,C47963,B001,Western,Savings,Withdrawal,Mobile Banking,8501.56,1398419.19,45,Female,Teacher,178057.17,544,No,12.8,7,75.3,2.2,No,10579.62
1389,2025-08-09,C35742,B014,Coast,Current,Bill Payment,Branch,112632.66,726741.86,66,Female,Teacher,109593.34,707,No,1.7,128,97.4,1.9,No,123497.87
1390,2024-02-07,C27964,B012,Rift Valley,Savings,Deposit,Branch,323140.97,1824650.91,54,Female,Teacher,350374.07,558,No,4.2,93,98.2,1.1,Yes,395278.6
1391,2024-08-30,C15420,B015,Central,Current,Withdrawal,Branch,367106.04,128330.22,43,Female,Business,293906.71,351,No,9.4,180,11.7,5.0,Yes,407987.97
1392,2024-06-06,C97917,B001,Rift Valley,Current,Transfer,ATM,351358.44,899170.56,49,Female,Business,377917.63,476,Yes,12.8,55,28.4,4.4,Yes,285120.75
1393,2025-05-13,C53589,B006,Nairobi,Current,Withdrawal,Branch,355306.4,131790.95,24,Female,Civil Servant,177738.77,319,No,12.0,136,42.5,2.5,No,296053.77
1394,2025-02-21,C50756,B007,Western,Savings,Bill Payment,Internet Banking,298269.08,1540550.16,48,Male,Civil Servant,177075.84,518,Yes,19.7,164,16.2,1.5,No,343607.25
1395,2025-03-28,C28107,B008,Eastern,Savings,Bill Payment,Internet Banking,489415.54,756737.45,33,Female,Student,161702.68,511,Yes,11.8,248,78.7,1.7,No,505929.19
1396,2025-10-09,C80337,B014,Nairobi,Fixed Deposit,Withdrawal,Mobile Banking,89608.5,353453.61,41,Male,Farmer,107600.6,433,Yes,19.7,272,87.8,4.3,Yes,79616.0
1397,2025-10-18,C20276,B004,Western,Savings,Loan Repayment,ATM,234759.69,1659233.73,52,Female,Engineer,25616.85,675,No,5.3,81,45.1,3.3,Yes,204207.36
1398,2025-01-08,C81065,B007,Nairobi,Savings,Deposit,Internet Banking,447716.72,85705.71,40,Female,Student,293048.99,357,No,17.0,197,85.2,3.1,No,510432.66
1399,2025-01-05,C13601,B012,Rift Valley,Current,Transfer,Mobile Banking,24193.36,392581.7,69,Female,Engineer,194393.5,384,Yes,12.2,9,54.8,3.3,Yes,28254.91
1400,2025-08-21,C48073,B007,Nairobi,Current,Loan Repayment,Mobile Banking,200208.79,1887105.62,57,Male,Farmer,466163.87,719,Yes,7.7,3,51.1,2.5,Yes,227199.12
1401,2025-01-05,C66388,B011,Eastern,Savings,Deposit,Internet Banking,191777.27,705927.58,56,Female,Student,420602.35,657,Yes,7.0,59,21.7,1.7,No,170130.53
1402,2025-05-16,C89511,B003,Central,Savings,Bill Payment,Mobile Banking,429175.83,587634.35,39,Male,Teacher,176858.1,301,Yes,12.3,288,16.4,1.1,Yes,431638.02
1403,2024-01-22,C94456,B003,Coast,Savings,Withdrawal,Internet Banking,330409.48,686037.8,19,Male,Student,321254.18,606,Yes,13.4,220,99.0,4.1,Yes,286026.64
1404,2025-08-12,C14537,B007,Coast,Fixed Deposit,Withdrawal,ATM,208543.87,519796.33,70,Female,Civil Servant,470725.55,459,Yes,4.4,252,43.7,3.6,No,247441.96
1405,2025-03-14,C74800,B006,Nairobi,Current,Transfer,Mobile Banking,236781.3,810030.29,46,Female,Engineer,220414.73,777,Yes,10.2,186,21.8,1.3,No,257451.01
1406,2025-07-28,C84252,B006,Western,Current,Withdrawal,Internet Banking,414421.69,1370480.91,69,Male,Engineer,460211.26,338,No,13.1,208,96.5,4.6,No,523789.77
1407,2025-04-21,C41036,B011,Western,Current,Loan Repayment,ATM,148816.69,166094.69,24,Male,Engineer,495777.1,451,No,13.1,212,88.5,3.1,Yes,181577.01
1408,2024-07-10,C59828,B014,Western,Current,Deposit,Branch,339349.78,552325.91,38,Male,Civil Servant,98347.45,615,No,19.3,42,29.0,3.6,No,357497.88
1409,2025-12-25,C56773,B002,Western,Savings,Transfer,Internet Banking,307064.58,1430178.08,48,Male,Business,456441.7,346,Yes,14.2,290,80.4,1.2,No,301830.82
1410,2025-01-04,C57076,B015,Western,Current,Deposit,Internet Banking,385657.99,1393731.85,66,Female,Civil Servant,170190.14,798,No,14.0,90,45.2,2.1,Yes,450811.28
1411,2025-01-31,C32573,B003,Coast,Fixed Deposit,Loan Repayment,Mobile Banking,499325.03,1735907.63,54,Female,Farmer,111218.94,717,No,9.9,118,5.7,3.9,Yes,431528.09
1412,2024-05-26,C18628,B001,Coast,Fixed Deposit,Bill Payment,Mobile Banking,40656.21,1857212.41,49,Female,Student,466109.99,843,No,12.9,74,29.6,1.9,Yes,49961.61
1413,2025-03-07,C57976,B014,Eastern,Fixed Deposit,Deposit,Mobile Banking,362307.97,482957.76,25,Male,Engineer,231013.46,532,Yes,17.4,214,30.1,1.1,No,461888.8
1414,2025-12-05,C99740,B007,Rift Valley,Savings,Loan Repayment,ATM,325676.32,908694.47,20,Female,Civil Servant,229468.97,460,No,6.1,95,84.7,3.4,Yes,346268.86
1415,2025-09-26,C68272,B009,Eastern,Savings,Transfer,ATM,342308.71,1302164.27,28,Female,Engineer,338586.9,571,Yes,12.0,206,42.5,4.0,Yes,419637.19
1416,2025-11-30,C28323,B002,Rift Valley,Savings,Transfer,Branch,254262.1,232968.86,58,Female,Teacher,277421.51,701,No,16.1,11,40.8,1.2,No,241030.74
1417,2025-06-06,C18926,B009,Eastern,Current,Deposit,Internet Banking,320944.44,138879.69,55,Female,Engineer,388367.03,667,Yes,11.0,175,98.8,4.2,Yes,288397.79
1418,2025-01-07,C95041,B002,Eastern,Fixed Deposit,Bill Payment,Branch,438638.67,447358.07,64,Male,Engineer,226663.14,396,Yes,5.4,235,15.8,2.6,No,419759.28
1419,2025-10-26,C85233,B013,Eastern,Savings,Transfer,Branch,429796.87,1381438.66,63,Male,Engineer,396568.51,791,Yes,5.1,211,77.7,4.5,Yes,485453.84
1420,2024-09-07,C50194,B012,Nairobi,Savings,Bill Payment,Internet Banking,487794.51,426718.25,56,Female,Teacher,149102.48,690,No,4.1,271,80.6,2.7,No,433631.89
1421,2024-11-28,C68103,B003,Eastern,Savings,Bill Payment,Internet Banking,103718.56,424646.89,58,Female,Nurse,113727.36,789,No,10.0,182,44.8,3.5,Yes,130032.45
1422,2024-01-21,C60660,B015,Central,Fixed Deposit,Bill Payment,Mobile Banking,472186.43,377589.24,42,Female,Nurse,211727.41,358,No,12.7,279,14.8,2.8,No,578117.48
1423,2024-12-11,C35878,B002,Rift Valley,Current,Bill Payment,Internet Banking,215603.82,1265532.72,40,Male,Civil Servant,82933.01,429,No,18.6,144,23.5,4.2,No,215023.26
1424,2024-02-08,C79179,B006,Western,Current,Deposit,Internet Banking,98189.18,588024.74,25,Female,Engineer,37462.57,363,No,10.9,20,10.7,4.7,Yes,120054.58
1425,2025-01-25,C59491,B014,Central,Current,Deposit,Branch,95898.97,15026.15,72,Female,Teacher,227069.93,441,No,6.8,48,51.5,3.9,Yes,96508.94
1426,2024-12-16,C76633,B015,Central,Current,Withdrawal,Mobile Banking,64765.27,151785.81,50,Female,Civil Servant,404760.65,716,Yes,4.3,260,29.4,4.5,Yes,67762.63
1427,2025-08-02,C26538,B008,Rift Valley,Savings,Deposit,Branch,136179.73,1619374.3,54,Female,Teacher,264505.78,307,No,2.1,261,9.8,1.5,Yes,167286.81
1428,2025-05-29,C14718,B006,Eastern,Current,Loan Repayment,Mobile Banking,301729.76,895681.03,56,Male,Business,77621.49,733,No,13.8,2,49.9,1.6,No,316309.85
1429,2024-11-18,C31674,B012,Central,Savings,Loan Repayment,Branch,359129.99,369349.65,69,Male,Nurse,344409.7,603,No,18.2,79,50.9,3.8,No,376110.77
1430,2024-10-31,C15579,B004,Nairobi,Current,Bill Payment,ATM,367955.46,15523.28,62,Female,Civil Servant,331248.68,440,No,8.3,180,52.0,1.7,No,387344.2
1431,2024-02-05,C89791,B003,Central,Savings,Deposit,ATM,381461.04,222886.16,63,Female,Teacher,463580.04,649,No,4.6,97,35.1,3.3,No,408699.65
1432,2024-11-06,C92351,B014,Western,Savings,Deposit,ATM,324951.3,626730.66,18,Male,Civil Servant,177376.13,833,Yes,3.3,278,2.5,1.2,Yes,277445.88
1433,2025-01-10,C54382,B001,Western,Savings,Withdrawal,Internet Banking,386185.5,1981507.88,44,Male,Student,347455.31,350,No,13.9,92,63.8,1.3,No,370134.88
1434,2025-11-21,C55189,B008,Central,Savings,Transfer,Branch,209194.99,878573.87,30,Female,Farmer,146814.87,383,No,17.8,35,19.7,2.1,Yes,215215.55
1435,2025-12-05,C22415,B014,Western,Savings,Deposit,ATM,232093.7,426115.1,69,Female,Civil Servant,250619.33,416,Yes,11.5,52,46.7,4.7,Yes,294309.67
1436,2025-07-14,C14111,B007,Western,Fixed Deposit,Transfer,ATM,222490.84,389362.12,59,Male,Business,153967.2,676,Yes,10.8,112,70.6,4.0,No,179823.19
1437,2025-12-08,C36888,B014,Coast,Fixed Deposit,Transfer,Branch,279494.74,1017668.56,58,Male,Student,456990.78,610,No,13.2,211,65.8,4.0,Yes,277090.65
1438,2024-02-14,C88851,B014,Eastern,Fixed Deposit,Transfer,Branch,191749.71,628174.95,56,Female,Student,155324.54,553,Yes,3.9,260,42.4,4.5,Yes,171853.9
